709,78	9,15
709,83	9,15
709,89	9,15
709,95	7,12
710,01	12,21
710,06	19,32
710,12	16,26
710,18	7,12
710,24	16,27
710,29	2,03
710,35	11,19
710,41	9,15
710,47	13,22
710,52	15,25
710,58	27,45
710,64	-3,05
710,70	29,49
710,76	39,64
710,81	1060,93
710,87	1950,54
710,93	2072,73
710,99	2048,43
711,04	2014,46
711,10	1945,54
711,16	1907,61
711,22	1937,74
711,27	1953,36
711,33	2027,93
711,39	2081,94
711,45	2083,87
711,50	2004,50
711,56	2007,32
711,62	2021,46
711,68	2053,39
711,73	2080,84
711,79	2104,73
711,85	2097,84
711,91	2053,84
711,96	1970,68
712,02	1987,13
712,08	2051,87
712,14	2162,60
712,19	2232,60
712,25	2194,64
712,31	2146,60
712,37	2049,16
712,42	1978,35
712,48	2010,31
712,54	2065,94
712,60	2117,61
712,65	2146,58
712,71	2051,13
712,77	1986,34
712,83	1999,33
712,88	2021,02
712,94	2175,45
713,00	2260,19
713,06	2267,23
713,11	2176,63
713,17	2153,57
713,23	2065,07
713,29	2055,19
713,34	2070,92
713,40	2182,44
713,46	2183,60
713,52	2201,47
713,57	2092,65
713,63	2025,95
713,69	2034,96
713,75	2196,68
713,80	2281,09
713,86	2336,74
713,92	2329,71
713,98	2282,32
714,03	2194,54
714,09	2090,70
714,15	2120,73
714,20	2216,62
714,26	2225,27
714,32	2300,10
714,38	2254,22
714,43	2213,42
714,49	2246,27
714,55	2229,50
714,61	2222,22
714,66	2298,98
714,72	2336,85
714,78	2317,07
714,84	2198,56
714,89	2152,77
714,95	2098,77
715,01	2172,86
715,07	2272,33
715,12	2277,17
715,18	2339,09
715,24	2283,04
715,29	2211,68
715,35	2193,35
715,41	2241,71
715,47	2320,25
715,52	2414,05
715,58	2369,84
715,64	2255,05
715,70	2192,25
715,75	2129,86
715,81	2177,44
715,87	2269,22
715,92	2258,16
715,98	2396,51
716,04	2420,81
716,10	2302,22
716,15	2224,40
716,21	2263,12
716,27	2315,10
716,33	2389,74
716,38	2406,41
716,44	2394,68
716,50	2343,01
716,55	2265,47
716,61	2135,79
716,67	2245,29
716,73	2352,79
716,78	2443,51
716,84	2533,25
716,90	2469,75
716,96	2361,71
717,01	2334,86
717,07	2299,06
717,13	2365,71
717,18	2448,64
717,24	2437,81
717,30	2361,98
717,36	2345,00
717,41	2225,58
717,47	2274,97
717,53	2403,56
717,58	2500,25
717,64	2555,06
717,70	2569,02
717,76	2482,32
717,81	2388,94
717,87	2321,87
717,93	2359,03
717,99	2426,50
718,04	2452,50
718,10	2499,38
718,16	2468,46
718,21	2313,96
718,27	2304,25
718,33	2357,70
718,39	2479,52
718,44	2587,02
718,50	2612,83
718,56	2675,74
718,61	2588,82
718,67	2448,49
718,73	2413,59
718,79	2390,00
718,84	2471,55
718,90	2498,55
718,96	2480,47
719,01	2475,43
719,07	2431,19
719,13	2387,79
719,18	2407,72
719,24	2535,43
719,30	2627,01
719,36	2714,51
719,41	2680,55
719,47	2577,01
719,53	2490,31
719,58	2343,57
719,64	2406,59
719,70	2473,25
719,76	2596,87
719,81	2660,46
719,87	2623,59
719,93	2614,91
719,98	2540,07
720,04	2607,13
720,10	2707,18
720,15	2808,96
720,21	2831,15
720,27	2771,15
720,33	2624,89
720,38	2465,51
720,44	2494,38
720,50	2536,09
720,55	2599,82
